accX_mean,accX_std,accX_min,accX_max,accY_mean,accY_std,accY_min,accY_max,accZ_mean,accZ_std,accZ_min,accZ_max,gyroX_mean,gyroX_std,gyroX_min,gyroX_max,gyroY_mean,gyroY_std,gyroY_min,gyroY_max,gyroZ_mean,gyroZ_std,gyroZ_min,gyroZ_max,label
-10966.424242424242,6742.862666508487,-16504.0,1312.0,493.09090909090907,452.3972510164852,-296.0,1348.0,11684.969696969696,6712.3154000913155,2756.0,23164.0,-1966.5454545454545,18.05043439416852,-2000.0,-1936.0,-2872.6363636363635,1798.5201524131899,-5242.0,425.0,2975.181818181818,6285.147071939454,-4482.0,32767.0,paper
-6541.677419354839,6358.782002800518,-15500.0,728.0,1813.032258064516,526.7024133778623,752.0,3012.0,16574.1935483871,4452.508487129136,9756.0,21636.0,-1969.5483870967741,18.17477869590607,-2000.0,-1936.0,-1632.6129032258063,1204.4612260929325,-3783.0,202.0,2432.516129032258,4833.267713607209,-3589.0,19596.0,paper
-7111.870967741936,5630.275160486892,-14736.0,308.0,955.483870967742,472.365668451024,348.0,1760.0,17150.709677419356,3935.9687515150863,11008.0,21392.0,-1959.225806451613,15.368169870264003,-2000.0,-1920.0,-1872.8387096774193,1659.8286075530848,-4774.0,99.0,1806.8709677419354,3145.192381417873,-2313.0,9208.0,paper
-7227.888888888889,5201.343341746453,-13824.0,832.0,2842.222222222222,467.3284015771296,1880.0,3424.0,17192.444444444445,3333.59965412289,11144.0,22080.0,-1955.5555555555557,16.276967854600027,-1984.0,-1936.0,-1812.388888888889,1093.9389713397513,-3554.0,-14.0,1909.3055555555557,2202.0623945934276,-783.0,7466.0,paper
-6411.75,5422.766625161712,-15472.0,1420.0,2576.875,610.5293182043732,1584.0,3748.0,17845.125,3177.6930945618087,11560.0,22436.0,-1950.0,14.511397078203405,-1984.0,-1920.0,-1712.3125,1304.6543093614814,-4531.0,506.0,2140.59375,2061.8542212380335,-1744.0,6435.0,paper
-5504.666666666667,5407.893109679063,-13964.0,1620.0,1840.0,489.92220956859205,988.0,2600.0,18311.666666666668,2951.8417882496924,12376.0,21904.0,-1943.111111111111,21.447314554211715,-2000.0,-1904.0,-1658.5555555555557,1363.7915099235963,-4916.0,68.0,1793.5,2051.3005839501643,-1710.0,6021.0,paper
-5368.09756097561,5506.146346606118,-12772.0,2076.0,2364.1951219512193,386.7298294360156,1756.0,3284.0,18156.09756097561,2760.0189112112807,12852.0,21752.0,-1948.878048780488,16.08756526319508,-1984.0,-1920.0,-1459.3170731707316,978.4558354628069,-3342.0,244.0,1752.3170731707316,1762.1828003788992,-560.0,6509.0,paper
-8873.809523809523,4973.05945601677,-15668.0,28.0,1794.6666666666667,550.5450366667326,844.0,2584.0,16063.619047619048,3706.7902685798254,9468.0,21488.0,-1948.952380952381,18.442993753266926,-1984.0,-1904.0,-1880.904761904762,1221.1309394148866,-4026.0,918.0,1611.547619047619,1733.6511619514627,-3704.0,3652.0,paper
-6171.263157894737,5774.797198658409,-14428.0,2564.0,1670.6315789473683,444.76367372156693,892.0,2604.0,17480.105263157893,3324.303233554394,11296.0,21872.0,-1942.7368421052631,18.833099399764833,-1984.0,-1904.0,-1678.0,948.7920342858725,-3602.0,-289.0,2067.7894736842104,2028.544854015081,-4388.0,7467.0,paper
-9705.5,5374.411218795781,-15376.0,3072.0,1244.3,640.1053679288137,-116.0,2012.0,15275.5,3624.205709619837,9776.0,20872.0,-1940.8,19.579162130785623,-1984.0,-1904.0,-2141.825,1275.5683275831732,-4100.0,-190.0,1870.5,2137.7027928992447,-1821.0,9338.0,paper
-8449.846153846154,3773.0447675337446,-13128.0,-1504.0,1863.2820512820513,602.5677489193948,684.0,2724.0,17120.923076923078,2573.0857103630447,13412.0,20888.0,-1942.974358974359,15.913395845683928,-1968.0,-1904.0,-2097.4102564102564,1096.3142729870826,-4290.0,-268.0,1363.7948717948718,1391.5498587713964,-1041.0,4331.0,paper
-3957.128205128205,8367.888091669836,-14248.0,7016.0,160.6153846153846,692.2187293267707,-952.0,1248.0,17533.641025641027,3266.555980388129,12316.0,22540.0,-1911.7948717948718,19.027928901291506,-1936.0,-1872.0,-1822.7948717948718,1578.0163293713042,-4316.0,1932.0,1695.6410256410256,4512.496866814363,-7136.0,15688.0,paper
