id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;Merlin;Paper;-1220.0;1584.0;19680.0;-1936.0;-619.0;285.0;0
1;Merlin;Paper;-760.0;1624.0;20780.0;-1936.0;-405.0;552.0;103
2;Merlin;Paper;-1376.0;1604.0;21128.0;-1952.0;-784.0;93.0;207
3;Merlin;Paper;-1424.0;1720.0;21716.0;-1920.0;-290.0;50.0;310
4;Merlin;Paper;-332.0;1872.0;19692.0;-1952.0;-319.0;969.0;413
5;Merlin;Paper;988.0;1612.0;20896.0;-1952.0;-239.0;1100.0;517
6;Merlin;Paper;740.0;1684.0;20640.0;-1936.0;-773.0;705.0;620
7;Merlin;Paper;1420.0;2112.0;20316.0;-1936.0;-995.0;-180.0;724
8;Merlin;Paper;-32.0;2212.0;22436.0;-1968.0;-967.0;1366.0;827
9;Merlin;Paper;-1028.0;2532.0;19692.0;-1952.0;-1764.0;2110.0;931
10;Merlin;Paper;-2520.0;2516.0;20980.0;-1968.0;-1716.0;1596.0;1034
11;Merlin;Paper;-2996.0;2740.0;19084.0;-1968.0;-1897.0;2662.0;1137
12;Merlin;Paper;-3104.0;2472.0;19948.0;-1952.0;-1737.0;2767.0;1241
13;Merlin;Paper;-3196.0;2416.0;20416.0;-1936.0;-1586.0;3943.0;1344
14;Merlin;Paper;-4284.0;2224.0;20228.0;-1952.0;-1164.0;6022.0;1449
15;Merlin;Paper;-6040.0;2460.0;19564.0;-1936.0;-1146.0;6435.0;1552
16;Merlin;Paper;-7536.0;2668.0;19060.0;-1936.0;-1336.0;5016.0;1656
17;Merlin;Paper;-7676.0;2832.0;17636.0;-1984.0;-1929.0;4620.0;1759
18;Merlin;Paper;-8832.0;3052.0;17960.0;-1968.0;-2159.0;4309.0;1862
19;Merlin;Paper;-8228.0;2952.0;17108.0;-1952.0;-2229.0;3999.0;1966
20;Merlin;Paper;-9272.0;2936.0;17580.0;-1936.0;-2680.0;4537.0;2069
21;Merlin;Paper;-9740.0;3168.0;17268.0;-1968.0;-3278.0;3281.0;2173
22;Merlin;Paper;-10896.0;2924.0;16336.0;-1952.0;-3080.0;3527.0;2276
23;Merlin;Paper;-11312.0;3260.0;15464.0;-1936.0;-4056.0;2910.0;2380
24;Merlin;Paper;-12484.0;3132.0;13312.0;-1952.0;-4531.0;3439.0;2483
25;Merlin;Paper;-12156.0;3148.0;15088.0;-1936.0;-3741.0;2255.0;2586
26;Merlin;Paper;-12336.0;3748.0;13868.0;-1952.0;-4293.0;1759.0;2690
27;Merlin;Paper;-15188.0;3256.0;12820.0;-1968.0;-2875.0;1271.0;2794
28;Merlin;Paper;-15472.0;3364.0;11560.0;-1952.0;-1870.0;-211.0;2898
29;Merlin;Paper;-15020.0;3248.0;13224.0;-1936.0;-910.0;-333.0;3001
30;Merlin;Paper;-12736.0;2948.0;11956.0;-1968.0;506.0;-611.0;3105
31;Merlin;Paper;-11128.0;2440.0;13608.0;-1952.0;68.0;-1744.0;3208
