id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;Merlin;Stone;-964.0;2464.0;19936.0;-1840.0;-362.0;213.0;0
1;Merlin;Stone;-676.0;2620.0;20516.0;-1840.0;37.0;659.0;103
2;Merlin;Stone;172.0;2584.0;20580.0;-1824.0;-334.0;723.0;207
3;Merlin;Stone;1444.0;3048.0;21356.0;-1856.0;-410.0;868.0;310
4;Merlin;Stone;4108.0;4048.0;23316.0;-1856.0;-101.0;-1967.0;414
5;Merlin;Stone;1976.0;4728.0;24064.0;-1856.0;-3276.0;1018.0;517
6;Merlin;Stone;-4224.0;3864.0;26252.0;-1824.0;-5984.0;1943.0;620
7;Merlin;Stone;-5964.0;2700.0;23144.0;-1856.0;-8060.0;3409.0;724
8;Merlin;Stone;-8124.0;1128.0;21224.0;-1840.0;-9668.0;3227.0;827
9;Merlin;Stone;-8648.0;-360.0;18216.0;-1872.0;-9294.0;1796.0;931
10;Merlin;Stone;-6040.0;-2628.0;16040.0;-1840.0;-6418.0;115.0;1034
11;Merlin;Stone;-6308.0;-3468.0;10076.0;-1840.0;-2924.0;-906.0;1138
12;Merlin;Stone;-2740.0;-4108.0;11780.0;-1856.0;1740.0;-133.0;1241
13;Merlin;Stone;1472.0;-4156.0;13792.0;-1856.0;4585.0;-2471.0;1344
14;Merlin;Stone;8288.0;-1960.0;18636.0;-1872.0;7872.0;-2139.0;1448
15;Merlin;Stone;8728.0;-1068.0;20484.0;-1808.0;6833.0;-299.0;1551
16;Merlin;Stone;7304.0;-272.0;22352.0;-1856.0;5622.0;842.0;1655
17;Merlin;Stone;4900.0;676.0;22260.0;-1824.0;4306.0;-540.0;1758
18;Merlin;Stone;2356.0;2196.0;23684.0;-1840.0;3201.0;921.0;1862
19;Merlin;Stone;1872.0;3160.0;21232.0;-1872.0;3628.0;1013.0;1965
20;Merlin;Stone;1152.0;3408.0;26224.0;-1872.0;679.0;774.0;2068
21;Merlin;Stone;-800.0;3500.0;21320.0;-1840.0;-519.0;722.0;2172
22;Merlin;Stone;-1112.0;3052.0;21176.0;-1840.0;-403.0;505.0;2274
23;Merlin;Stone;-1364.0;2976.0;19392.0;-1840.0;-399.0;900.0;2378
24;Merlin;Stone;-1860.0;2792.0;20312.0;-1840.0;-1089.0;721.0;2481
25;Merlin;Stone;-772.0;2844.0;22212.0;-1808.0;-1304.0;436.0;2584
26;Merlin;Stone;-140.0;2468.0;19380.0;-1872.0;-641.0;768.0;2688
27;Merlin;Stone;792.0;2624.0;19588.0;-1840.0;-668.0;450.0;2791
28;Merlin;Stone;1152.0;2336.0;20620.0;-1872.0;-376.0;-71.0;2895
29;Merlin;Stone;-84.0;2576.0;20480.0;-1840.0;-758.0;-40.0;2998
