id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;Merlin;Scissors;-212.0;-16384.0;1320.0;-2032.0;461.0;-1133.0;0
1;Merlin;Scissors;1040.0;-16108.0;1008.0;-2016.0;1533.0;-816.0;103
2;Merlin;Scissors;1256.0;-15784.0;1364.0;-2000.0;1473.0;1470.0;206
3;Merlin;Scissors;-1400.0;-15636.0;1608.0;-2032.0;4174.0;59.0;310
4;Merlin;Scissors;-1916.0;-15292.0;5180.0;-2000.0;3987.0;-2139.0;412
5;Merlin;Scissors;-1492.0;-15060.0;8312.0;-2000.0;5413.0;-3158.0;516
6;Merlin;Scissors;-3036.0;-14792.0;9584.0;-2000.0;4642.0;-1959.0;619
7;Merlin;Scissors;-2744.0;-14248.0;10020.0;-2000.0;4417.0;-1820.0;722
8;Merlin;Scissors;-260.0;-13820.0;8420.0;-2000.0;3933.0;-3067.0;826
9;Merlin;Scissors;-2184.0;-13212.0;13324.0;-2000.0;4604.0;-2922.0;929
10;Merlin;Scissors;-3176.0;-12756.0;13784.0;-2000.0;4687.0;-2251.0;1033
11;Merlin;Scissors;-2712.0;-11576.0;12636.0;-2000.0;4772.0;-502.0;1136
12;Merlin;Scissors;-580.0;-11172.0;11468.0;-2000.0;4907.0;-1077.0;1240
13;Merlin;Scissors;-2112.0;-10212.0;17364.0;-2032.0;4328.0;-1631.0;1343
14;Merlin;Scissors;-3756.0;-9404.0;19248.0;-2000.0;4899.0;-502.0;1446
15;Merlin;Scissors;-2216.0;-8304.0;17676.0;-2000.0;4060.0;-532.0;1550
16;Merlin;Scissors;-908.0;-7444.0;16292.0;-2016.0;3857.0;-531.0;1653
17;Merlin;Scissors;-2688.0;-6676.0;19900.0;-2016.0;2893.0;-1029.0;1757
18;Merlin;Scissors;-2452.0;-6032.0;19640.0;-2016.0;3520.0;139.0;1860
19;Merlin;Scissors;-4000.0;-4872.0;21212.0;-2000.0;3144.0;-771.0;1964
20;Merlin;Scissors;-3180.0;-3944.0;19548.0;-2000.0;3554.0;-84.0;2067
21;Merlin;Scissors;-2696.0;-2912.0;19544.0;-2016.0;3577.0;-519.0;2170
22;Merlin;Scissors;-3912.0;-1852.0;20136.0;-1984.0;4142.0;-589.0;2274
23;Merlin;Scissors;-3612.0;-952.0;21664.0;-2000.0;3781.0;69.0;2377
24;Merlin;Scissors;-2008.0;16.0;21896.0;-2000.0;3443.0;-43.0;2481
25;Merlin;Scissors;-3032.0;876.0;22168.0;-2016.0;2967.0;133.0;2583
26;Merlin;Scissors;-2460.0;1480.0;19256.0;-2000.0;2240.0;-53.0;2687
27;Merlin;Scissors;-2152.0;2112.0;20492.0;-2016.0;1847.0;-26.0;2790
28;Merlin;Scissors;-2988.0;2372.0;21424.0;-2000.0;1928.0;-266.0;2893
29;Merlin;Scissors;-2760.0;2996.0;21500.0;-2000.0;999.0;-343.0;2997
30;Merlin;Scissors;-2236.0;3216.0;21364.0;-1984.0;886.0;176.0;3100
31;Merlin;Scissors;-3884.0;3828.0;20020.0;-2016.0;396.0;-495.0;3204
32;Merlin;Scissors;-4592.0;3920.0;20628.0;-2000.0;295.0;-467.0;3307
33;Merlin;Scissors;-2112.0;4188.0;21552.0;-2016.0;-274.0;-75.0;3410
34;Merlin;Scissors;-2504.0;3956.0;19352.0;-2016.0;-486.0;-78.0;3513
35;Merlin;Scissors;-2284.0;4044.0;19320.0;-2032.0;-849.0;36.0;3616
36;Merlin;Scissors;-1896.0;3896.0;19928.0;-1984.0;-834.0;-103.0;3720
