id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;Merlin;exsc;2556.0;3836.0;19100.0;-2608.0;-165.0;-175.0;0
1;Merlin;exsc;2832.0;3856.0;20816.0;-2624.0;-694.0;426.0;103
2;Merlin;exsc;1884.0;3476.0;20036.0;-2624.0;-856.0;-100.0;207
3;Merlin;exsc;1288.0;3444.0;19812.0;-2608.0;-396.0;-187.0;310
4;Merlin;exsc;2516.0;3876.0;20692.0;-2640.0;-458.0;-451.0;414
5;Merlin;exsc;2872.0;3984.0;19916.0;-2624.0;-674.0;0.0;517
6;Merlin;exsc;2304.0;3688.0;19496.0;-2624.0;-814.0;-174.0;620
7;Merlin;exsc;2436.0;3828.0;21184.0;-2640.0;-701.0;196.0;724
8;Merlin;exsc;2636.0;3704.0;20468.0;-2624.0;-149.0;143.0;827
9;Merlin;exsc;2140.0;3776.0;19648.0;-2624.0;-536.0;-64.0;931
10;Merlin;exsc;1996.0;3656.0;20068.0;-2576.0;-547.0;-364.0;1034
11;Merlin;exsc;2196.0;3712.0;21012.0;-2592.0;-655.0;151.0;1138
12;Merlin;exsc;2784.0;3868.0;20000.0;-2624.0;-343.0;-225.0;1241
13;Merlin;exsc;2144.0;3828.0;20220.0;-2608.0;-629.0;-214.0;1344
14;Merlin;exsc;3108.0;3872.0;20524.0;-2624.0;-356.0;31.0;1448
15;Merlin;exsc;2400.0;3776.0;19592.0;-2624.0;-571.0;-5.0;1551
16;Merlin;exsc;2140.0;3712.0;19712.0;-2608.0;-710.0;244.0;1655
17;Merlin;exsc;2600.0;3876.0;19484.0;-2640.0;-453.0;17.0;1757
18;Merlin;exsc;2360.0;4016.0;19852.0;-2624.0;-869.0;35.0;1861
19;Merlin;exsc;2676.0;3900.0;20436.0;-2624.0;-837.0;151.0;1964
20;Merlin;exsc;3008.0;3960.0;20524.0;-2640.0;-226.0;-115.0;2067
21;Merlin;exsc;2168.0;3792.0;19752.0;-2640.0;-396.0;319.0;2171
22;Merlin;exsc;2796.0;4028.0;20220.0;-2624.0;-484.0;-85.0;2274
23;Merlin;exsc;1896.0;3968.0;20684.0;-2608.0;-529.0;-162.0;2378
24;Merlin;exsc;2668.0;4060.0;20600.0;-2608.0;-399.0;-558.0;2481
25;Merlin;exsc;2792.0;3924.0;20044.0;-2656.0;-362.0;3.0;2584
26;Merlin;exsc;2480.0;3776.0;18764.0;-2592.0;-430.0;-138.0;2688
27;Merlin;exsc;2692.0;3916.0;19788.0;-2640.0;-653.0;16.0;2791
28;Merlin;exsc;2420.0;3952.0;20824.0;-2640.0;-635.0;241.0;2895
29;Merlin;exsc;2860.0;4236.0;20280.0;-2624.0;-292.0;-30.0;2998
30;Merlin;exsc;1920.0;3944.0;19344.0;-2624.0;-673.0;356.0;3102
31;Merlin;exsc;1628.0;3668.0;19804.0;-2608.0;-827.0;-34.0;3205
32;Merlin;exsc;2964.0;4212.0;21300.0;-2608.0;-327.0;212.0;3308
33;Merlin;exsc;1876.0;4060.0;21952.0;-2624.0;-295.0;-55.0;3412
34;Merlin;exsc;2760.0;4056.0;19236.0;-2624.0;-796.0;65.0;3515
35;Merlin;exsc;1836.0;4092.0;19280.0;-2640.0;-770.0;48.0;3618
36;Merlin;exsc;2412.0;4080.0;20220.0;-2576.0;-654.0;-66.0;3721
37;Merlin;exsc;2412.0;4156.0;20500.0;-2624.0;-556.0;-115.0;3825
38;Merlin;exsc;2720.0;4124.0;20056.0;-2624.0;-641.0;30.0;3928
