id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;Merlin;Paper;1892.0;1148.0;21568.0;-1920.0;-136.0;21.0;0
1;Merlin;Paper;1852.0;1240.0;20060.0;-1888.0;-370.0;-182.0;104
2;Merlin;Paper;1488.0;1332.0;20416.0;-1936.0;-694.0;-198.0;207
3;Merlin;Paper;1596.0;1324.0;20560.0;-1872.0;277.0;230.0;311
4;Merlin;Paper;1928.0;1308.0;19632.0;-1920.0;-588.0;-186.0;414
5;Merlin;Paper;1540.0;1416.0;19976.0;-1888.0;-437.0;404.0;517
6;Merlin;Paper;2356.0;1416.0;20908.0;-1904.0;-592.0;-578.0;621
7;Merlin;Paper;2596.0;1528.0;19576.0;-1936.0;-188.0;-363.0;724
8;Merlin;Paper;3460.0;1544.0;21492.0;-1968.0;-367.0;-318.0;828
9;Merlin;Paper;3668.0;1452.0;20876.0;-1952.0;-245.0;676.0;931
10;Merlin;Paper;2368.0;1596.0;20032.0;-1952.0;-68.0;1163.0;1035
11;Merlin;Paper;3004.0;1804.0;19952.0;-1904.0;-313.0;1316.0;1138
12;Merlin;Paper;3956.0;1680.0;19872.0;-1904.0;-228.0;403.0;1241
13;Merlin;Paper;3092.0;1692.0;20968.0;-1920.0;237.0;269.0;1345
14;Merlin;Paper;3312.0;1996.0;21556.0;-1920.0;211.0;4695.0;1448
15;Merlin;Paper;384.0;2148.0;21428.0;-1920.0;-806.0;6186.0;1552
16;Merlin;Paper;-188.0;1804.0;19788.0;-1904.0;-735.0;3932.0;1655
17;Merlin;Paper;-1408.0;1908.0;20784.0;-1904.0;-938.0;9481.0;1758
18;Merlin;Paper;-6656.0;2112.0;18364.0;-1920.0;-1431.0;9331.0;1862
19;Merlin;Paper;-5552.0;1940.0;19052.0;-1936.0;-1305.0;6635.0;1965
20;Merlin;Paper;-7064.0;1912.0;19300.0;-1920.0;-1323.0;6197.0;2069
21;Merlin;Paper;-7540.0;1856.0;17792.0;-1936.0;-1914.0;4035.0;2172
22;Merlin;Paper;-8132.0;1976.0;18872.0;-1904.0;-1602.0;3068.0;2276
23;Merlin;Paper;-8384.0;1868.0;17980.0;-1920.0;-1856.0;3881.0;2379
24;Merlin;Paper;-9988.0;2036.0;16588.0;-1872.0;-1655.0;3827.0;2482
25;Merlin;Paper;-10584.0;2040.0;17036.0;-1920.0;-1856.0;4202.0;2586
26;Merlin;Paper;-10364.0;2016.0;18016.0;-1904.0;-1947.0;3529.0;2689
27;Merlin;Paper;-10388.0;2268.0;15140.0;-1920.0;-3202.0;3857.0;2794
28;Merlin;Paper;-11752.0;2312.0;16240.0;-1888.0;-2884.0;3766.0;2897
29;Merlin;Paper;-11980.0;2132.0;13692.0;-1904.0;-3480.0;3148.0;3001
30;Merlin;Paper;-13788.0;2312.0;13228.0;-1904.0;-2937.0;3353.0;3104
31;Merlin;Paper;-11804.0;2040.0;13032.0;-1904.0;-2585.0;3634.0;3207
32;Merlin;Paper;-12884.0;1936.0;13548.0;-1920.0;-3442.0;3503.0;3311
33;Merlin;Paper;-12644.0;1788.0;13740.0;-1904.0;-4367.0;2891.0;3414
34;Merlin;Paper;-13840.0;2012.0;11956.0;-1888.0;-4817.0;2772.0;3518
35;Merlin;Paper;-14580.0;1800.0;9856.0;-1904.0;-4548.0;2566.0;3621
36;Merlin;Paper;-14880.0;1820.0;8736.0;-1920.0;-4539.0;1763.0;3725
37;Merlin;Paper;-14476.0;1372.0;9180.0;-1888.0;-3671.0;-30.0;3828
38;Merlin;Paper;-15188.0;1312.0;10768.0;-1904.0;-3308.0;993.0;3931
39;Merlin;Paper;-13760.0;984.0;10624.0;-1920.0;-2920.0;632.0;4036
40;Merlin;Paper;-14532.0;1020.0;10996.0;-1920.0;-2751.0;-126.0;4139
41;Merlin;Paper;-13576.0;1192.0;10188.0;-1904.0;-2277.0;425.0;4243
42;Merlin;Paper;-14832.0;868.0;6848.0;-1888.0;-1615.0;-242.0;4346
43;Merlin;Paper;-16112.0;1260.0;8520.0;-1904.0;553.0;-756.0;4450
44;Merlin;Paper;-15168.0;1332.0;9492.0;-1904.0;712.0;-2369.0;4553
