id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;Merlin;Scissors;-1992.0;-14948.0;10104.0;-1968.0;-1836.0;-2788.0;0
1;Merlin;Scissors;-1552.0;-14932.0;9460.0;-1984.0;-1069.0;851.0;104
2;Merlin;Scissors;-6320.0;-15300.0;7720.0;-1984.0;-109.0;438.0;207
3;Merlin;Scissors;-4752.0;-15012.0;7080.0;-1984.0;536.0;1790.0;311
4;Merlin;Scissors;-4660.0;-15816.0;7152.0;-1984.0;1110.0;2357.0;414
5;Merlin;Scissors;-3760.0;-15924.0;6000.0;-2016.0;-748.0;-2030.0;517
6;Merlin;Scissors;-820.0;-15092.0;4528.0;-1984.0;1347.0;-3358.0;621
7;Merlin;Scissors;-64.0;-13968.0;416.0;-2048.0;4056.0;-3253.0;724
8;Merlin;Scissors;-1428.0;-12972.0;7820.0;-1984.0;6917.0;-623.0;828
9;Merlin;Scissors;-3040.0;-11396.0;10968.0;-2016.0;7746.0;-2206.0;931
10;Merlin;Scissors;-3760.0;-10424.0;15860.0;-1984.0;7129.0;-1851.0;1035
11;Merlin;Scissors;-3256.0;-9128.0;16588.0;-1984.0;6109.0;-1712.0;1138
12;Merlin;Scissors;-4516.0;-8024.0;18756.0;-2000.0;5963.0;-2410.0;1241
13;Merlin;Scissors;-3232.0;-6896.0;18468.0;-2000.0;5314.0;-1531.0;1345
14;Merlin;Scissors;-3260.0;-5944.0;16636.0;-2032.0;4561.0;-3332.0;1448
15;Merlin;Scissors;-5448.0;-4672.0;21008.0;-2016.0;5628.0;-2111.0;1552
16;Merlin;Scissors;-4380.0;-3280.0;21420.0;-2016.0;5024.0;-1566.0;1655
17;Merlin;Scissors;-2588.0;-2276.0;21440.0;-2016.0;4239.0;-701.0;1759
18;Merlin;Scissors;-1724.0;-1176.0;21128.0;-1984.0;4653.0;-787.0;1862
19;Merlin;Scissors;-3400.0;-184.0;21740.0;-2016.0;4591.0;-513.0;1965
20;Merlin;Scissors;-3680.0;764.0;20424.0;-2016.0;3570.0;-529.0;2069
21;Merlin;Scissors;-2916.0;1540.0;21988.0;-2016.0;3690.0;-143.0;2172
22;Merlin;Scissors;-3044.0;2508.0;21432.0;-2016.0;2095.0;-452.0;2276
23;Merlin;Scissors;-3856.0;3096.0;20952.0;-1984.0;2168.0;-340.0;2379
24;Merlin;Scissors;-3724.0;3768.0;19792.0;-2016.0;2318.0;-369.0;2483
25;Merlin;Scissors;-3364.0;4256.0;20432.0;-1984.0;1743.0;117.0;2586
26;Merlin;Scissors;-2936.0;4724.0;20768.0;-2032.0;436.0;102.0;2689
27;Merlin;Scissors;-2588.0;4756.0;21244.0;-2000.0;337.0;456.0;2793
28;Merlin;Scissors;-5024.0;5104.0;19544.0;-1968.0;-476.0;-264.0;2896
29;Merlin;Scissors;-3984.0;5124.0;20404.0;-2000.0;-46.0;92.0;3000
30;Merlin;Scissors;-3528.0;5196.0;19840.0;-2016.0;-719.0;-179.0;3103
31;Merlin;Scissors;-3144.0;5096.0;19244.0;-2016.0;-401.0;-189.0;3205
32;Merlin;Scissors;-3208.0;5272.0;19216.0;-2016.0;-556.0;-494.0;3309
33;Merlin;Scissors;-3924.0;5396.0;20472.0;-1984.0;-862.0;-302.0;3412
34;Merlin;Scissors;-2944.0;5312.0;19780.0;-2016.0;-1079.0;-141.0;3516
