id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;Merlin;Stone;-616.0;2336.0;20984.0;-1888.0;-289.0;-371.0;0
1;Merlin;Stone;-1220.0;2324.0;20656.0;-1888.0;-564.0;135.0;103
2;Merlin;Stone;444.0;2280.0;20960.0;-1856.0;-725.0;-12.0;207
3;Merlin;Stone;-204.0;2260.0;20988.0;-1856.0;-600.0;14.0;310
4;Merlin;Stone;-828.0;2388.0;20960.0;-1840.0;-439.0;194.0;414
5;Merlin;Stone;-484.0;2428.0;19412.0;-1872.0;-304.0;291.0;517
6;Merlin;Stone;812.0;2304.0;20596.0;-1840.0;-520.0;278.0;621
7;Merlin;Stone;2112.0;2316.0;19088.0;-1872.0;-713.0;-1301.0;724
8;Merlin;Stone;5072.0;2868.0;21116.0;-1840.0;-751.0;109.0;827
9;Merlin;Stone;2144.0;3212.0;24336.0;-1856.0;-1282.0;1039.0;931
10;Merlin;Stone;196.0;3764.0;25564.0;-1856.0;-4013.0;1816.0;1034
11;Merlin;Stone;-4028.0;2908.0;23980.0;-1840.0;-6899.0;1992.0;1137
12;Merlin;Stone;-5100.0;1232.0;22252.0;-1840.0;-7628.0;1804.0;1241
13;Merlin;Stone;-6712.0;-424.0;19372.0;-1888.0;-7476.0;1353.0;1344
14;Merlin;Stone;-6612.0;-2092.0;18780.0;-1856.0;-6468.0;1129.0;1448
15;Merlin;Stone;-5820.0;-3260.0;15496.0;-1872.0;-5011.0;46.0;1551
16;Merlin;Stone;-1996.0;-3900.0;13704.0;-1840.0;-3008.0;662.0;1655
17;Merlin;Stone;76.0;-4216.0;14308.0;-1840.0;-501.0;1329.0;1758
18;Merlin;Stone;2268.0;-3924.0;14268.0;-1856.0;2808.0;-511.0;1861
19;Merlin;Stone;6120.0;-2736.0;14496.0;-1888.0;4219.0;780.0;1964
20;Merlin;Stone;7340.0;-1840.0;17960.0;-1856.0;7141.0;2502.0;2067
21;Merlin;Stone;7840.0;-64.0;20020.0;-1872.0;6654.0;2701.0;2171
22;Merlin;Stone;4356.0;1612.0;21524.0;-1840.0;6219.0;1664.0;2274
23;Merlin;Stone;3536.0;2972.0;25748.0;-1872.0;3447.0;2415.0;2378
24;Merlin;Stone;2324.0;4072.0;23452.0;-1872.0;2117.0;711.0;2481
25;Merlin;Stone;-872.0;4548.0;22552.0;-1840.0;1352.0;681.0;2585
26;Merlin;Stone;-4100.0;3892.0;22676.0;-1872.0;-970.0;179.0;2688
27;Merlin;Stone;-6080.0;3444.0;21348.0;-1872.0;-487.0;199.0;2791
28;Merlin;Stone;-4236.0;3356.0;20548.0;-1888.0;-1291.0;-138.0;2895
29;Merlin;Stone;-72.0;3204.0;20464.0;-1856.0;159.0;-9.0;2998
30;Merlin;Stone;624.0;3288.0;19496.0;-1856.0;-948.0;-488.0;3102
31;Merlin;Stone;1312.0;3084.0;20692.0;-1856.0;-604.0;50.0;3205
32;Merlin;Stone;628.0;2964.0;20604.0;-1856.0;-309.0;31.0;3309
33;Merlin;Stone;12.0;3120.0;19728.0;-1872.0;-241.0;403.0;3412
34;Merlin;Stone;652.0;3396.0;20172.0;-1840.0;-980.0;-4.0;3515
35;Merlin;Stone;-512.0;3252.0;21876.0;-1872.0;-1004.0;-60.0;3619
36;Merlin;Stone;-356.0;3128.0;20016.0;-1872.0;-639.0;684.0;3722
37;Merlin;Stone;-92.0;3272.0;20556.0;-1856.0;-610.0;390.0;3826
38;Merlin;Stone;324.0;3300.0;20204.0;-1824.0;-721.0;5.0;3928
39;Merlin;Stone;-140.0;3116.0;20528.0;-1840.0;-652.0;158.0;4031
