id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;Wizard #1;Expelliarmus;540.0;720.0;20800.0;-1936.0;-622.0;34.0;0
1;Wizard #1;Expelliarmus;512.0;688.0;20572.0;-1936.0;-600.0;38.0;103
2;Wizard #1;Expelliarmus;512.0;768.0;20696.0;-1952.0;-604.0;44.0;207
3;Wizard #1;Expelliarmus;560.0;712.0;20648.0;-1936.0;-613.0;78.0;310
4;Wizard #1;Expelliarmus;552.0;756.0;20664.0;-1920.0;-610.0;76.0;414
5;Wizard #1;Expelliarmus;548.0;700.0;20696.0;-1920.0;-619.0;69.0;516
6;Wizard #1;Expelliarmus;492.0;656.0;20600.0;-1968.0;-588.0;77.0;619
7;Wizard #1;Expelliarmus;636.0;740.0;20664.0;-1936.0;-613.0;17.0;723
8;Wizard #1;Expelliarmus;396.0;656.0;20660.0;-1920.0;-596.0;42.0;826
9;Wizard #1;Expelliarmus;536.0;756.0;20928.0;-1936.0;-601.0;61.0;930
10;Wizard #1;Expelliarmus;408.0;720.0;20820.0;-1936.0;-606.0;48.0;1033
11;Wizard #1;Expelliarmus;3940.0;-136.0;24260.0;-1920.0;-851.0;-932.0;1137
12;Wizard #1;Expelliarmus;2620.0;732.0;21184.0;-1920.0;-505.0;496.0;1240
13;Wizard #1;Expelliarmus;696.0;904.0;19440.0;-1920.0;-713.0;-815.0;1343
14;Wizard #1;Expelliarmus;-1604.0;1848.0;21096.0;-1920.0;-357.0;-6612.0;1447
15;Wizard #1;Expelliarmus;608.0;1144.0;10816.0;-1952.0;1699.0;4746.0;1550
16;Wizard #1;Expelliarmus;-2652.0;1048.0;20472.0;-1952.0;-4710.0;12290.0;1654
17;Wizard #1;Expelliarmus;-2884.0;188.0;16780.0;-1936.0;-1697.0;4814.0;1757
18;Wizard #1;Expelliarmus;-3220.0;-920.0;16312.0;-1920.0;1222.0;2899.0;1860
19;Wizard #1;Expelliarmus;5332.0;-1028.0;21536.0;-1920.0;3288.0;935.0;1964
20;Wizard #1;Expelliarmus;-2448.0;1300.0;18608.0;-1920.0;-2676.0;839.0;2066
21;Wizard #1;Expelliarmus;-7392.0;344.0;24596.0;-1920.0;-3032.0;-717.0;2170
22;Wizard #1;Expelliarmus;-3484.0;-60.0;17880.0;-1936.0;-3282.0;866.0;2273
23;Wizard #1;Expelliarmus;-7656.0;-1028.0;18924.0;-1936.0;-1042.0;-959.0;2377
24;Wizard #1;Expelliarmus;-4824.0;868.0;19832.0;-1936.0;96.0;-4562.0;2480
25;Wizard #1;Expelliarmus;-4208.0;-748.0;20564.0;-1936.0;-682.0;-4603.0;2583
26;Wizard #1;Expelliarmus;-2000.0;-480.0;22032.0;-1936.0;-574.0;459.0;2687
27;Wizard #1;Expelliarmus;-3484.0;-632.0;19012.0;-1888.0;-1937.0;-3490.0;2790
28;Wizard #1;Expelliarmus;-3428.0;-720.0;20456.0;-1920.0;-419.0;-595.0;2894
29;Wizard #1;Expelliarmus;-4312.0;-1404.0;21672.0;-1920.0;-3339.0;-8192.0;2997
30;Wizard #1;Expelliarmus;2220.0;-1144.0;20032.0;-1936.0;-2564.0;-13768.0;3101
31;Wizard #1;Expelliarmus;2668.0;-1392.0;19128.0;-1952.0;1618.0;8728.0;3204
32;Wizard #1;Expelliarmus;-104.0;-1316.0;20320.0;-1920.0;-1346.0;7060.0;3307
33;Wizard #1;Expelliarmus;-1316.0;-848.0;18780.0;-1936.0;1657.0;345.0;3411
34;Wizard #1;Expelliarmus;-2944.0;-740.0;20516.0;-1936.0;-2854.0;70.0;3514
35;Wizard #1;Expelliarmus;-2148.0;-620.0;20904.0;-1904.0;366.0;5360.0;3618
36;Wizard #1;Expelliarmus;-1188.0;-1180.0;20212.0;-1936.0;-2952.0;4469.0;3721
37;Wizard #1;Expelliarmus;-5392.0;-2088.0;17284.0;-1936.0;-1885.0;938.0;3825
38;Wizard #1;Expelliarmus;-4764.0;-1752.0;22600.0;-1952.0;-3931.0;-5697.0;3928
39;Wizard #1;Expelliarmus;-412.0;-2976.0;16896.0;-1936.0;-4448.0;-7027.0;4031
40;Wizard #1;Expelliarmus;896.0;-2956.0;20428.0;-1936.0;493.0;-7770.0;4135
41;Wizard #1;Expelliarmus;1056.0;-2588.0;19480.0;-1904.0;175.0;-3433.0;4238
42;Wizard #1;Expelliarmus;244.0;-2236.0;21740.0;-1920.0;286.0;293.0;4342
43;Wizard #1;Expelliarmus;492.0;-2368.0;20216.0;-1936.0;-283.0;697.0;4445
44;Wizard #1;Expelliarmus;1328.0;-2312.0;20864.0;-1904.0;838.0;2450.0;4548
45;Wizard #1;Expelliarmus;940.0;-2268.0;20740.0;-1904.0;46.0;1095.0;4652
46;Wizard #1;Expelliarmus;712.0;-1960.0;18844.0;-1904.0;2291.0;9198.0;4755
